Title,Price,N_Rooms,Square_meters,Floors,BathRooms,Neighborhood
"Quadrilocale via della Trinit� dei Pellegrini, 19, Ghetto - Portico d'Ottavia, Roma",1100000,4,107.0,3,3,Centro Storico 
"Bilocale via di San Giovanni in Laterano, Colle Oppio, Roma",435000,2,76.0,1,,Centro Storico 
"Attico piazza de Ricci, Via Giulia, Roma",2350000,5+,180.0,,3+,Centro Storico 
"Appartamento via Del corso, Montecitorio, Roma",899000,5,180.0,2,2,Centro Storico 
"Appartamento via sicilia, Vittorio Veneto, Roma",3260000,,466.0,3,,Centro Storico 
"Appartamento via sicilia, Vittorio Veneto, Roma",728000,,104.0,3,,Centro Storico 
"Appartamento via sicilia, Vittorio Veneto, Roma",2240000,,320.0,3,,Centro Storico 
"Appartamento via sicilia, Vittorio Veneto, Roma",2527000,,360.0,3,,Centro Storico 
"Appartamento via sicilia, Vittorio Veneto, Roma",3260000,,466.0,3,,Centro Storico 
"Appartamento via Sicilia, Vittorio Veneto, Roma",2530000,,360.0,3,,Centro Storico 
"Bilocale via del Gonfalone, 31, Via Giulia, Roma",205000,2,61.0,0,,Centro Storico 
"Trilocale via Sistina 110, Spagna, Roma",790000,3,95.0,3,2,Centro Storico 
"Quadrilocale piazza Sforza Cesarini, Via Giulia, Roma",1400000,4,150.0,3,3,Centro Storico 
"Appartamento all'asta via del Babuino 164, Roma",503050,3,77.0,2,,Centro Storico 
"Appartamento all'asta via Del Babuino 164, Roma",503050,2,77.0,2,,Centro Storico 
"Appartamento corso Vittorio Emanuele II, 229, 00186, Piazza Navona, Roma",1200000,5+,240.0,1,2,Centro Storico 
"Quadrilocale via Camillo Benso di Cavour, Monti, Roma",645000,4,96.0,5,3,Centro Storico 
"Monolocale ottimo stato, Monti, Roma",183000,,35.0,S,,Centro Storico 
"Quadrilocale via dei Chiavari 6, Largo Argentina, Roma",2700000,4,175.0,2,3,Centro Storico 
"Attico via di Sant'Agata dei Goti 24, Monti, Roma",690000,2,75.0,6,,Centro Storico 
"Attico via di Sant'Agata dei Goti 24, Monti, Roma",690000,2,75.0,6,,Centro Storico 
"Attico vicolo Savelli, Piazza Navona, Roma",2950000,5+,302.0,2,3+,Centro Storico 
"Quadrilocale Passeggiata di Ripetta, Piazza del Popolo, Roma",795000,4,100.0,2,2,Centro Storico 
"Appartamento via del corso, Montecitorio, Roma",1890000,5+,129.0,2,3,Centro Storico 
"Appartamento via dei Coronari, Piazza Navona, Roma",1320000,5,173.0,1,2,Centro Storico 
"Quadrilocale via dei Chiavari 6, Largo Argentina, Roma",2700000,4,175.0,2,3,Centro Storico 
"Appartamento via dei Chiavari, Campo de' Fiori, Roma",2700000,5,175.0,2,3,Centro Storico 
"Appartamento via dei Chiavari, Campo de' Fiori, Roma",2700000,5,175.0,2,3,Centro Storico 
"Quadrilocale via dei Chiavari, Campo de' Fiori, Roma",2700000,4,175.0,2,3,Centro Storico 
"Bilocale via Boncompagni, Sallustiano, Roma",600000,2,90.0,1,2,Centro Storico 
"Quadrilocale via dei Chiavari, Campo de' Fiori, Roma",2700000,4,175.0,2,3,Centro Storico 
"Appartamento all'asta via del Babuino 164, Roma",503050,4,77.0,2,,Centro Storico 
"Bilocale via Baccina, Monti, Roma",420000,2,42.0,4,,Centro Storico 
"Bilocale via Del Colosseo, Colosseo - Fori Imperiali, Roma",420000,2,45.0,1,,Centro Storico 
"Trilocale via Panisperna, Monti, Roma",780000,3,114.0,2,,Centro Storico 
"Bilocale via della Scrofa, Montecitorio, Roma",540000,2,70.0,2,,Centro Storico 
"Appartamento all'asta piazza Sallustio 15A, Roma",469000,5,107.0,2,,Centro Storico 
"Bilocale via Merulana 117, Esquilino, Roma",289000,2,78.0,3,2,Centro Storico 
"Bilocale vicolo Della Palomba, Piazza Navona, Roma",670000,2,80.0,4,,Centro Storico 
"Quadrilocale via di Monserrato, Via Giulia, Roma",950000,4,100.0,3,2,Centro Storico 
"Appartamento via Merulana, Esquilino, Roma",950000,5+,170.0,2,2,Centro Storico 
"Bilocale via Cavour 96, Colle Oppio, Roma",290000,2,65.0,0,,Centro Storico 
"Monolocale via dei Ciancaleoni, Monti, Roma",167000,,25.0,S,,Centro Storico 
"Appartamento piazza di Spagna, Spagna, Roma",2350000,5+,230.0,2,3,Centro Storico 
"Attico piazza Navona, Piazza Navona, Roma",5500000,5,274.0,4,3+,Centro Storico 
"Appartamento via 20 Settembre 4, Barberini, Roma",1090000,5,168.0,1,2,Centro Storico 
"Appartamento via della Mercede, Spagna, Roma",1530000,5,168.0,3,3,Centro Storico 
"Appartamento via del Teatro Valle, Pantheon, Roma",1700000,5+,204.0,1,2,Centro Storico 
"Attico centro Storico Rione Trevi, Barberini, Roma",2195000,4,173.0,5,3,Centro Storico 
"Bilocale via della Scrofa, Montecitorio, Roma",749000,2,200.0,0,,Centro Storico 
"Appartamento piazza Sallustio 10, Sallustiano, Roma",650000,5,161.0,1,2,Centro Storico 
"Trilocale via Sicilia 42, Vittorio Veneto, Roma",915000,3,96.0,3,2,Centro Storico 
"Bilocale via Sicilia 42, Vittorio Veneto, Roma",445000,2,46.0,3,,Centro Storico 
"Appartamento via della Vetrina, Piazza Navona, Roma",1350000,5+,240.0,0,3+,Centro Storico 
"Appartamento vicolo Sciarra, Trevi, Roma",1500000,5,153.0,,3+,Centro Storico 
"Appartamento piazza di Spagna, Spagna, Roma",2200000,5,250.0,2,2,Centro Storico 
"Trilocale via di San Giovanni in Laterano, Colosseo - Fori Imperiali, Roma",515000,3,70.0,2,,Centro Storico 
"Appartamento via Del Tritone, Barberini, Roma",4260000,5+,355.0,2,3,Centro Storico 
"Bilocale via dei Coronari, 31, Piazza Navona, Roma",425000,2,52.0,2,,Centro Storico 
"Monolocale via in Publicolis, 43, Ghetto - Portico d'Ottavia, Roma",210000,,35.0,0,,Centro Storico 
"Trilocale via della Maschera d'Oro 11, Piazza Navona, Roma",450000,3,81.0,0,,Centro Storico 
"Bilocale via di San Teodoro, Colosseo - Fori Imperiali, Roma",495000,2,43.0,1,,Centro Storico 
"Quadrilocale via Piave, Sallustiano, Roma",690000,4,125.0,1,2,Centro Storico 
"Trilocale via delle Coppelle, Montecitorio, Roma",790000,3,110.0,2,,Centro Storico 
"Bilocale via Parma, Monti, Roma",100000,2,45.0,S,,Centro Storico 
"Trilocale via dei Banchi Vecchi, Via Giulia, Roma",1090000,3,90.0,3,,Centro Storico 
"Attico via dei Banchi Vecchi, Via Giulia, Roma",1090000,3,90.0,3,,Centro Storico 
"Appartamento all'asta via del Babuino 164, Roma",503050,3,77.0,2,,Centro Storico 
"Loft piazza de' Ricci, Via Giulia, Roma",1300000,2,80.0,0,2,Centro Storico 
"Appartamento via del Babuino 164, Piazza del Popolo, Roma",503050,,77.0,2,,Centro Storico 
"Bilocale via del Portico d'Ottavia, Ghetto - Portico d'Ottavia, Roma",499000,2,60.0,2,,Centro Storico 
"Monolocale via di San Giovanni in Laterano 130, Colosseo - Fori Imperiali, Roma",225000,,30.0,3,,Centro Storico 
"Quadrilocale via Ruggero Bonghi, Colle Oppio, Roma",650000,4,170.0,S,3,Centro Storico 
"Bilocale via Zucchelli 27, Spagna, Roma",450000,2,50.0,0,2,Centro Storico 
"Quadrilocale via Nazionale, Monti, Roma",1000000,4,182.0,5,3+,Centro Storico 
"Appartamento piazza del Parlamento, Montecitorio, Roma",2000000,5+,180.0,1,3,Centro Storico 
"Appartamento via Giovanni Lanza, 150, Colle Oppio, Roma",795000,5,145.0,1,2,Centro Storico 
"Quadrilocale via Calabria, Vittorio Veneto, Roma",740000,4,135.0,4,2,Centro Storico 
"Loft via di Santo Stefano del Cacco, Pantheon, Roma",660000,2,71.0,0,,Centro Storico 
"Quadrilocale via Merulana 13, Esquilino, Roma",800000,4,140.0,5,2,Centro Storico 
"Quadrilocale via Flavia, Sallustiano, Roma",410000,4,120.0,1,2,Centro Storico 
"Bilocale via Giulia 161, Via Giulia, Roma",700000,2,80.0,2,,Centro Storico 
Appartamenti di nuova costruzione a Roma,355000,1 - 3,34.0,,,Centro Storico 
"Bilocale via della Palombella, Pantheon, Roma",420000,2,40.0,2,,Centro Storico 
"Appartamento piazza di Spagna, Spagna, Roma",2400000,5+,245.0,2,3+,Centro Storico 
"Appartamento via 20 Settembre, Repubblica, Roma",1300000,5+,203.0,1,2,Centro Storico 
"Villa unifamiliare via di San Marco, Colosseo - Fori Imperiali, Roma",5500000,5+,1.138,,3+,Centro Storico 
"Quadrilocale via 20 Settembre, Repubblica, Roma",1350000,4,200.0,4,3,Centro Storico 
"Attico via del Babuino 55, Piazza del Popolo, Roma",895000,2,95.0,4,,Centro Storico 
"Attico vicolo delle Grotte, Campo de' Fiori, Roma",895000,3,120.0,3 - 4,,Centro Storico 
"Appartamento via del Babuino 55, Piazza del Popolo, Roma",895000,5+,95.0,4,,Centro Storico 
"Trilocale via della Frezza, Piazza del Popolo, Roma",1500000,3,68.0,2,,Centro Storico 
"Bilocale via Sant'Angelo in Pescheria, Ghetto - Portico d'Ottavia, Roma",430000,2,50.0,0,,Centro Storico 
"Appartamento corso del Rinascimento, Piazza Navona, Roma",1450000,5,142.0,2,2,Centro Storico 
"Appartamento via di San Martino Ai Monti 36, Colle Oppio, Roma",620000,5,137.0,0,,Centro Storico 
"Quadrilocale via Augusto Valenziani, Sallustiano, Roma",630000,4,109.0,1,2,Centro Storico 
"Appartamento via Nazionale, Monti, Roma",3500000,5+,416.0,1,,Centro Storico 
"Trilocale via Camillo Benso di Cavour, Monti, Roma",500000,3,115.0,4,2,Centro Storico 
"Quadrilocale via di Panico, Via Giulia, Roma",1240000,4,138.0,2,3,Centro Storico 
"Bilocale via Beato Angelico, Pantheon, Roma",860000,2,80.0,4,,Centro Storico 
"Appartamento via del Biscione, Campo de' Fiori, Roma",2100000,5,175.0,4,2,Centro Storico 
"Appartamento via del Gambero, Spagna, Roma",2250000,5+,260.0,2,3+,Centro Storico 
"Bilocale via Giulia 115, Via Giulia, Roma",700000,2,80.0,2,,Centro Storico 
"Appartamento via della Tribuna di Campitelli, Ghetto - Portico d'Ottavia, Roma",795000,5,91.0,1,2,Centro Storico 
"Appartamento via Dei Condotti, Spagna, Roma",9000000,5+,574.0,2,3+,Centro Storico 
"Quadrilocale piazza Mattei, Largo Argentina, Roma",1180000,4,121.0,2,,Centro Storico 
"Appartamento corso del Rinascimento, Piazza Navona, Roma",4500000,5+,500.0,3,3+,Centro Storico 
"Trilocale via Dei Cappellari, Campo de' Fiori, Roma",640000,3,70.0,1,,Centro Storico 
"Quadrilocale via Genova, Monti, Roma",595000,4,100.0,2,,Centro Storico 
"Bilocale via Giulia, Via Giulia, Roma",720000,2,73.0,2,,Centro Storico 
"Trilocale ottimo stato, secondo piano, Vittorio Veneto, Roma",779000,3,110.0,2,2,Centro Storico 
"Mansarda piazza Navona, Piazza Navona, Roma",490000,3,70.0,5,,Centro Storico 
